customer_tweet_id,customer_text,gold_brand_reply,intent_id,intent_confidence,intent_rationale,drafted_reply,grounding_examples,escalate,escalation_reason,escalation_source
28474,@115850 @AmazonHelp Not able to make payment for order #408-8438988-8961968.Amount deducted 4 times &amp; still order not placed #worstservice,@122230 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.(1/2)^CB,order_status_and_payment,0.93,"Customer reports payment failures and multiple deductions while order not placed, matching the Order Status & Payment intent.",@115850 We’re sorry you’re seeing multiple charges. Please don’t share your order number here—DM us or contact Amazon Support directly so we can investigate and resolve this for you.,"@115850 @AmazonHelp Not able to make payment for order #408-8438988-8961968.Amount deducted 4 times &amp; still order not placed #worstservice ||| @AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""? ||| @AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""?",True,Multiple payment deductions and order not placed require human review,llm_judgment
385370,"@115850 Order:Thursday 5 October 2017 / 408-6673389-3841925, Items: Redmi 4 (Gold, 64GB) but not delivered my address of your delivery boy",@207241 We apologize for this. Please contact us here: https://t.co/vlvfJr4nN9 so that our support team can look into this.(1/2)^RS,missing_or_misdelivered_package,0.86,"The user reports that their order was not delivered to their address, indicating a missing or misdelivered package.",@115850 Sorry to hear your order wasn’t delivered. Please DM us or contact us here: https://t.co/8sTNDLzKlb so we can investigate. ^AG,"@115850 ,ORDER # 408-6296303-0233920,OFD,Call to Delivery boy no-8178195791,he informed Vehicle not available for delivery, gr8 Srvcs.. ||| @115850 pampers not delivered yet now, 8240475331 delivery boy's no.
my no. 7890830841 changed to 8777420372. 
delivery boy not deliver ||| @115850 pampers not delivered yet now, 8240475331 delivery boy's no.
my no. 7890830841 changed to 8777420372. 
delivery boy not deliver",False,Standard missing package inquiry can be handled with automated process,llm_judgment
141095,"@AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. Let me repeat. My concern is, why Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long? Dont try to modify my own concerns sounds like u trying to hide.","@147589 In case the resolution provided on email by our Social Media team isn't up to your expectation, feel free to write back on the same. We'll get your situation reviewed accordingly. Appreciate your cooperation. ^KH",order_status_and_payment,0.78,"User complains about incorrect tracking info and withheld money, indicating issues with order status and payment",@115821 We’re sorry for the inconvenience and understand your concerns. Please DM us your order number and any relevant details so we can look into the tracking and payment issue. ^AH,"@AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. That's even greater achievement that u guys showing me. U don't even know my concern. My concern is, why? Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long? ||| @AmazonHelp Let see ||| @AmazonHelp Let's see.",True,Matched hard escalation rule: account_security,hard_rule
2292061,"@AmazonHelp Hi, I was asked for a credit card statement. I uploaded it more than 24 hs ago and still no news for my account reinstatement.","@665654 Hi, it can take btwn 24-48 hrs to reinstate. Have you checked your Spam/Junk folder for  emails from the Account Specialists ? ^TD",pending_resolution_followup,0.85,User is following up on a pending account reinstatement after providing required documents,@YourHandle Thank you for uploading the statement; our account team is reviewing it and will contact you via the email on file shortly. We appreciate your patience.,"@AmazonHelp Hi, I sent my credit card statement more than 48hs ago and still no news from the account specialist ||| @AmazonHelp to my credit card. ||| @AmazonHelp hi, I have a credit card charge for prime every month when I am not a subscriber. Can you help?",False,Standard verification follow‑up can be answered with a templated reply.,llm_judgment
65765,@115850 I got an order cancellation notification for a cancellation I did not do. I even got a refund. Can u pls tell me what's going on?,@131043 Apologies for the order cancellation. We'll not be able to check your information on Twitter. Please report it to our support team here: https://t.co/MDszy6ZxQg and you will be connected to our team to assist further.  ^SC,order_status_and_payment,0.87,"The user is asking why their order was canceled and refunded, which relates to order status and payment issues.",@115850 Sorry for the mix‑up. Please DM us or report this here: https://t.co/R3EfhzgU8B so we can investigate the cancellation and refund. ^CB,@AmazonHelp And I have the cancellation email that u send out ||| @AmazonHelp @115850 I have not got refund of the shipping charges... ||| @115850 Still not got this ... https://t.co/fHH03O3Yql,False,Standard order cancellation query can be handled with a templated response,llm_judgment
757168,@AmazonHelp Le suivi du colis dit en cours  c’d’acheminement mais c’était précisé que je serais livré aujourd’hui entre 8h et 18h,"@300945 Bonjour, désolée d'apprendre cela :/ je vous prie de contacter notre SAV via ce lien  https://t.co/hgIrz98cdI ^SN",delivery_delay,0.96,User reports delivery not arriving as promised based on tracking,"Bonjour, je suis sincèrement désolé que votre colis n’ait pas été livré dans le créneau prévu. Pouvez‑vous signaler cela à notre SAV ou nous communiquer le numéro de suivi en DM afin que nous puissions investiguer ?","@AmazonHelp Le suivi de colis sur mon espace client me dit: ""Livraison prévue aujourd'hui avant 20h"", Colis Privé me dit: ""On ne peut pas reprogrammer aujourd'hui, vous serez livré demain"" :/ ||| @AmazonHelp Bonsoir, le suivi du colis me dit « en cours de livraison » et le transporteur est Amazon Logistics. ||| @AmazonHelp Le suivi sur le site de colisprivé dit: ""Votre colis est en cours de livraison"". C'est des champions.",True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
103045,"Donc je récapitule. Quand tu commandes sur @120533 le dimanche, en livraison en 1 jour ouvré, tu reçois normalement ta commande le mercredi, mais finalement c'est le jeudi, et encore que la moitié, l'autre arrivant le vendredi (j'espère). C'est pas mal le 1 jour ouvré !","@138661 Bonsoir, je suis désolée d'apprendre cela. Quel est le transporteur qui prend en charge votre livraison s'il vous plaît? ^BR",delivery_delay,0.96,"User complains about late and partial delivery, matching delivery delay issues","Bonjour, désolé(e) pour ce retard de livraison. Pouvez‑vous nous transmettre votre numéro de commande en DM afin que nous vérifions le suivi ? ^MH","@AmazonHelp Non mais je parle que quand on précommande sans le 1 jour ouvré, le jeu devrait être envoyé le jour de sa sortie ou le lendemain et pas 4 ||| Tu précommande un livre sur @120533 qui doit sortir aujourd’hui le 22 septembre et tu le reçois pas ABUSÉ ! PFff ||| @AmazonHelp Letv by Le ECO Super3-x55",False,Standard delivery delay issue can be addressed with a templated response,llm_judgment
2119265,@AmazonHelp I received the wrong item and returned it but I still haven’t been refunded.,@624539 Two quick questions Jack; Was the item returned to Amazon or to a third party seller? Do you still have the tracking #?,order_status_and_payment,0.92,"User is asking about the status of a refund after returning a wrong item, which fits order status and payment inquiries.",@Customer I'm sorry you're still waiting on your refund. Please DM us with your order number so we can look into this for you. ^MT,@AmazonHelp I received the wrong item. about 10oz too large and wrong lid style as well ||| @115830 sent wrong item. Returned. Sent a replacement. Identical wrong item again. Pain to keep returning. Unusual for #Amazon ||| @AmazonHelp I received the wrong item. I have been told to send it back for a refund. But I am desperate for the item.,False,Standard refund inquiry can be addressed with existing policies,llm_judgment
1433613,@AmazonHelp Yes I got an email confirmation months ago but I've yet to get an email saying it's dispatched,"@452864 Was a delivery date provided in that e-mail? To clarify, was this purchased on https://t.co/nUUp5MLhYl? ^JO",order_status_and_payment,0.88,The user is asking about the dispatch status of an order they confirmed months ago.,We’re sorry for the delay. Please DM us your order number so we can check the dispatch status and get back to you promptly. ^JC,@AmazonHelp Got another email saying same now I'm speechless.. ||| @AmazonHelp Yes and got call and email revert too ||| @AmazonHelp Yes I got an email. Part of which is attached. https://t.co/ReqtF7N2Ik,True,Thread already has 4 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
1485738,"@AmazonHelp I didn’t use the link since that package showed up one day late and wasn’t urgent. This time it’s needed no later than tommorrow by noon, was ordered  last Thursday and supposed to be to me prior to 5pm today","@465021 We'd like to help you escalate, please provide your info here: https://t.co/RWCsJw3VBw ^NC",delivery_delay,0.93,The customer is complaining about a late package and requesting faster delivery.,@[user] Sorry to hear your package didn’t arrive on time. Please DM us your order number so we can check options to get it to you by tomorrow noon: https://t.co/EKXRLsnxJu ^AF,@AmazonHelp I didn’t get my package yet. What’s up? ||| @AmazonHelp It didn’t show up today 😪 ||| @AmazonHelp Then why you didn't decide the least prices prior.,True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
