"customer_tweet_id","customer_text","gold_brand_reply","intent_id","intent_confidence","intent_rationale","drafted_reply","grounding_examples","escalate","escalation_reason","escalation_source"
"28474","@115850 @AmazonHelp Not able to make payment for order #408-8438988-8961968.Amount deducted 4 times &amp; still order not placed #worstservice","@122230 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.(1/2)^CB","order_status_and_payment","0.9","Payment failed with multiple deductions.","@115850 Sorry to hear about the payment issue. Please DM us your order number so we can investigate?avoid posting order details publicly.","@115850 @AmazonHelp Not able to make payment for order #408-8438988-8961968.Amount deducted 4 times &amp; still order not placed #worstservice ||| @AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""? ||| @AmazonHelp  #408-3443578-8174720. Is this order coming ? payment deducted but the wbste says ""problem with payment""?","True","Multiple payment attempts and missing order warrant human investigation.","llm_judgment"
"385370","@115850 Order:Thursday 5 October 2017 / 408-6673389-3841925, Items: Redmi 4 (Gold, 64GB) but not delivered my address of your delivery boy","@207241 We apologize for this. Please contact us here: https://t.co/vlvfJr4nN9 so that our support team can look into this.(1/2)^RS","delivery_delay","0.95","Customer reports item was not delivered to their address.","@115850 Sorry about that. Kindly get in touch with us here: https://t.co/8sTNDLzKlb and we?ll be glad to help you. ^AG","@115850 ,ORDER # 408-6296303-0233920,OFD,Call to Delivery boy no-8178195791,he informed Vehicle not available for delivery, gr8 Srvcs.. ||| @115850 pampers not delivered yet now, 8240475331 delivery boy's no.
my no. 7890830841 changed to 8777420372. 
delivery boy not deliver ||| @115850 pampers not delivered yet now, 8240475331 delivery boy's no.
my no. 7890830841 changed to 8777420372. 
delivery boy not deliver","False","Standard delivery delay can be handled by automated support.","llm_judgment"
"141095","@AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. Let me repeat. My concern is, why Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long? Dont try to modify my own concerns sounds like u trying to hide.","@147589 In case the resolution provided on email by our Social Media team isn't up to your expectation, feel free to write back on the same. We'll get your situation reviewed accordingly. Appreciate your cooperation. ^KH","delivery_delay","0.75","Customer complains about wrong tracking info and delayed delivery","I understand your concern about the tracking and refund delay. Please DM us your order number or check the email we sent with a secure link so we can look into this right away. Thank you for your patience.","@AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. That's even greater achievement that u guys showing me. U don't even know my concern. My concern is, why? Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long? ||| @AmazonHelp Let see ||| @AmazonHelp Let's see.","True","Matched hard escalation rule: account_security","hard_rule"
"2292061","@AmazonHelp Hi, I was asked for a credit card statement. I uploaded it more than 24 hs ago and still no news for my account reinstatement.","@665654 Hi, it can take btwn 24-48 hrs to reinstate. Have you checked your Spam/Junk folder for  emails from the Account Specialists ? ^TD","pending_resolution_followup","0.95","The user is following up on the status of their account reinstatement after submitting required documentation.","Hello! An account specialist will review your statement and reach out soon?thank you for your patience.","@AmazonHelp Hi, I sent my credit card statement more than 48hs ago and still no news from the account specialist ||| @AmazonHelp to my credit card. ||| @AmazonHelp hi, I have a credit card charge for prime every month when I am not a subscriber. Can you help?","True","Account reinstatement request involves monetary policy and customer frustration, requiring human review.","llm_judgment"
"65765","@115850 I got an order cancellation notification for a cancellation I did not do. I even got a refund. Can u pls tell me what's going on?","@131043 Apologies for the order cancellation. We'll not be able to check your information on Twitter. Please report it to our support team here: https://t.co/MDszy6ZxQg and you will be connected to our team to assist further.  ^SC","order_status_and_payment","0.85","Customer inquiring about unexpected cancellation and refund of an order.","@115850 Sorry for the confusion. Please contact our support team so we can investigate this. You can do so here: https://t.co/R3EfhzgU8B ^CB","@AmazonHelp And I have the cancellation email that u send out ||| @AmazonHelp @115850 I have not got refund of the shipping charges... ||| @115850 Still not got this ... https://t.co/fHH03O3Yql","True","Suspicious cancellation and refund request needs human review","llm_judgment"
"757168","@AmazonHelp Le suivi du colis dit en cours  c?d?acheminement mais c??tait pr?cis? que je serais livr? aujourd?hui entre 8h et 18h","@300945 Bonjour, d?sol?e d'apprendre cela :/ je vous prie de contacter notre SAV via ce lien  https://t.co/hgIrz98cdI ^SN","delivery_delay","0.95","The customer reports that tracking shows the package as in transit but they were told it would arrive today between 8am and 6pm.","Bonjour, je suis d?sol?(e) d?apprendre cela. Pouvez?vous nous signaler le probl?me via notre SAV ou nous fournir le num?ro de suivi afin que nous puissions le v?rifier??","@AmazonHelp Le suivi de colis sur mon espace client me dit: ""Livraison pr?vue aujourd'hui avant 20h"", Colis Priv? me dit: ""On ne peut pas reprogrammer aujourd'hui, vous serez livr? demain"" :/ ||| @AmazonHelp Bonsoir, le suivi du colis me dit ??en cours de livraison?? et le transporteur est Amazon Logistics. ||| @AmazonHelp Le suivi sur le site de colispriv? dit: ""Votre colis est en cours de livraison"". C'est des champions.","True","Thread already has 2 prior turns ? repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.","repeated_complaint"
"103045","Donc je r?capitule. Quand tu commandes sur @120533 le dimanche, en livraison en 1 jour ouvr?, tu re?ois normalement ta commande le mercredi, mais finalement c'est le jeudi, et encore que la moiti?, l'autre arrivant le vendredi (j'esp?re). C'est pas mal le 1 jour ouvr? !","@138661 Bonsoir, je suis d?sol?e d'apprendre cela. Quel est le transporteur qui prend en charge votre livraison s'il vous pla?t? ^BR","delivery_delay","0.95","Customer complains about delivery timing exceeding promised 1 business day.","Bonjour, je suis d?sol?(e) que votre colis n?ait pas respect? le d?lai de 1?jour ouvr?. Pouvez?vous me donner votre num?ro de suivi ou me contacter en DM?? Je pourrai alors v?rifier la situation pour vous.","@AmazonHelp Non mais je parle que quand on pr?commande sans le 1 jour ouvr?, le jeu devrait ?tre envoy? le jour de sa sortie ou le lendemain et pas 4 ||| Tu pr?commande un livre sur @120533 qui doit sortir aujourd?hui le 22 septembre et tu le re?ois pas ABUS? ! PFff ||| @AmazonHelp Letv by Le ECO Super3-x55","False","Standard delivery delay issue can be auto-handled","llm_judgment"
"2119265","@AmazonHelp I received the wrong item and returned it but I still haven?t been refunded.","@624539 Two quick questions Jack; Was the item returned to Amazon or to a third party seller? Do you still have the tracking #?","order_status_and_payment","0.95","Customer is checking the status of a refund after returning a wrong item.","@AmazonHelp I?m so sorry about this. Have you had a chance to report your refund status to us by phone here: https://t.co/qy3J24VGxb? ^GR","@AmazonHelp I received the wrong item. about 10oz too large and wrong lid style as well ||| @115830 sent wrong item. Returned. Sent a replacement. Identical wrong item again. Pain to keep returning. Unusual for #Amazon ||| @AmazonHelp I received the wrong item. I have been told to send it back for a refund. But I am desperate for the item.","True","Refund status needs investigation beyond standard policy.","llm_judgment"
"1433613","@AmazonHelp Yes I got an email confirmation months ago but I've yet to get an email saying it's dispatched","@452864 Was a delivery date provided in that e-mail? To clarify, was this purchased on https://t.co/nUUp5MLhYl? ^JO","order_status_and_payment","0.95","Customer is asking about order dispatch email, a status query.","@AmazonHelp Thanks for reaching out. I'm sorry the dispatch email hasn't arrived. Please DM us your order number so we can look into it. ^PB","@AmazonHelp Got another email saying same now I'm speechless.. ||| @AmazonHelp Yes and got call and email revert too ||| @AmazonHelp Yes I got an email. Part of which is attached. https://t.co/ReqtF7N2Ik","True","Thread already has 4 prior turns ? repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.","repeated_complaint"
"1485738","@AmazonHelp I didn?t use the link since that package showed up one day late and wasn?t urgent. This time it?s needed no later than tommorrow by noon, was ordered  last Thursday and supposed to be to me prior to 5pm today","@465021 We'd like to help you escalate, please provide your info here: https://t.co/RWCsJw3VBw ^NC","delivery_delay","0.92","Customer is complaining about a late delivery and urgent need.","@123456 I'm sorry to hear this. Since your order was due today, please contact us for options: https://t.co/EKXRLsnxJu","@AmazonHelp I didn?t get my package yet. What?s up? ||| @AmazonHelp It didn?t show up today ?? ||| @AmazonHelp Then why you didn't decide the least prices prior.","True","Thread already has 6 prior turns ? repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.","repeated_complaint"
