customer_tweet_id,customer_text,gold_brand_reply,intent_id,intent_confidence,intent_rationale,drafted_reply,grounding_examples,escalate,escalation_reason,escalation_source
69770,@115830 where's my order? Very poor customer experience on your Black Friday deals. Surely you should be prepared for this demand?!,"@131805 I am sorry that you haven't received your delivery yet, Charlotte! What was the original delivery date given at checkout or our email confirmation? Were the items sold by Amazon or third-party seller? You can check here: https://t.co/aaDyEz1VgE ^FR",order_status_and_payment,0.85,The user is asking for the location/status of their order and expressing dissatisfaction.,@115830 Sorry for the inconvenience. Please DM us your order number or check Your Orders for the latest status so we can help you further. ^LL,"@115850 Any Black Friday deals in India? @AmazonHelp ||| @115821 Why do you hide your lightning deals?  They can't be found at this point.  Only ""Big deals"" with Black Friday.  You've destroyed your black friday with no deals calendars, now lightning deals can't even be found. ||| @AmazonHelp How can I find upcoming or current Black Friday tv deals?",False,Standard order status request can be handled with a templated reply,llm_judgment
122772,"@AmazonHelp Y así fue, no me ha llegado el paquete en todo el día.

Pagar Prime para esto..",@143392 Por favor reporta lo sucedido a través de nuestro Soporte al Cliente acá: https://t.co/MkpdPM4oxg. ^JQ,delivery_delay,0.92,"The user reports that their package has not arrived all day, indicating a delivery delay issue.","@[username] Hola, lamentamos la demora. Por favor revisa el estado de tu pedido en “Mis Pedidos” y, si necesitas más ayuda, envíanos un DM.","@116875 llegará mi paquete el día de hoy, lo esperé todo el día. :(
Así no me hace sentirbien ser miembro Prime ||| When llevas todo el día esperando un paquete de @116928 @9474 https://t.co/fFFdLqqp3Q ||| @133260 Me encuento a la espera de un paquete de @116928 que debería haber sido entregado hoy (recibí email de correos confirmándolo). Tras todo el día en la casa el seguimiento ha cambiado a ""no ha podido ser entregado"". Por aquí no ha pasado nadie en todo el día.",True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
158665,@115850 hi my friend ordered an air fryer from his ID and I only have the tracking no. Can you assist me in tracking of the item?,@152474 Twitter being a Social platform we will not be able to access the account details from here. You may track your orders here: https://t.co/ykWpCt0ely. ^VH,order_status_and_payment,0.92,"The user is requesting assistance to track an order using a tracking number, which fits the Order Status & Payment intent.","@115850 Hi, we can help you track the air fryer. Please DM us the tracking number so we can check its status. ^EM","@AmazonHelp AMZCA , tracking TBC010634952009 ||| @115850 Hi ||| @115850 Hi",False,Simple tracking request can be handled automatically,llm_judgment
179327,"Talked nearly 7-8 times, for my refund. The product was cancelled on 25th. And still i haven't received any refund. 
Courtesy- @115850",@158260 We can't access your details over Twitter. Kindly drop them via the secure link we shared. We'll investigate this for you. ^CB,pending_resolution_followup,0.78,"The user is following up on a refund issue after multiple contacts, seeking an update on the pending resolution.",@115850 Sorry for the delay. Please DM us or chat with us here so we can investigate your refund: https://t.co/JzP7hlA23B ^NS,"Haven't received my refund, it's been more than a week @115850 ||| @AmazonHelp Still haven't received my refund. ||| @AmazonHelp Hi, no i haven't received any refund.",True,Repeated contacts and unresolved refund indicate strong frustration and a monetary issue requiring human review,llm_judgment
243141,@AmazonHelp Thank you for the sugar coated email but that doesn't help. I wasn't wrong when I said it's a ridiculous system.,"@173738 If the response sent wasn't up to your expectation, you can choose to write back on the same. We will revert . ^CB",customer_service_complaint,0.88,"The message expresses frustration with a response from Amazon, indicating a complaint about customer service.",@user We're sorry you’re frustrated with the experience. Please DM us your order details so we can investigate further.,@AmazonHelp Already started but doesn’t help me now. ||| @AmazonHelp Ooooo yes they have it still doesn’t help when you were expecting delivery!!!!! ||| @AmazonHelp Thank you.,True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
390011,@115850 Amazon.in is the gang of the cheater they have taken my 16k. They are eating my interest. I would highly recmnd everyone to not use this.,@214484 Could you elaborate on your concern? We'd like to get things right. ^KA,order_status_and_payment,0.62,"The user complains about money being taken, indicating a payment-related issue.",@115850 I'm sorry you’re experiencing this. Please check your inbox/DM for the details we’ve sent and the next steps to resolve it. ^MJ,"@115850  is the gang of the cheater they have taken my 16k. They are eating my interest. I would highly recmnd everyone to not use this. ||| @115850 Amazon is cheater, fraudBoycott it.#BOYCOTTAMAZON.IN ||| @115850 Amazon is cheater, fraudBoycott it.#BOYCOTTAMAZON.IN",True,"Customer alleges a large unauthorized charge and expresses strong frustration, requiring human review.",llm_judgment
491382,"@AmazonHelp no, porque he tenido que ir a buscar al vecino a distintas horas para recibir mi paquete",@231831 Te recuerdo que puedes ayudarnos con tus comentarios y valoraciones ingresando al siguiente enlace:https://t.co/Me6KEOpNCf ^KA,missing_or_misdelivered_package,0.78,"The user complains about having to retrieve the package from a neighbor, indicating a misdelivery issue.","Hola, lamentamos mucho el inconveniente. ¿El pedido fue enviado por Amazon o por un vendedor externo? ^CB",@AmazonHelp mmmm déjame pensar ¿encontrando mi paquete ? ||| Tener #amazonprime no deja nada bueno. No me muevo de mi casa para recibir mi paquete de @116875 Me siento como niño en espera de Navidad https://t.co/m9QDHejoJR ||| No pude estar para recibir mi paquete y @116875 ya lleva 2 días de retraso en la reentrega. :(,True,Thread already has 4 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
494830,"@AmazonHelp No recibí más correos, cuando iba a ver mi orden en el tracking sí me salía mensaje que disculpe la demora y que debería estar llegando el 1 de Diciembre. Ahora ya no me sale nada, ni para hacer tracking","@233010 Por este medio no tenemos acceso a tu cuenta. En este caso Ana Lucía, por favor contacta nuestro Servicio al Cliente por este enlace: https://t.co/eJXKURvpr8  ^JJ",order_status_and_payment,0.78,The user is asking for an update on their order's tracking status and delivery timeline.,@usuario Lamentamos la falta de actualizaciones. Por favor envíanos un DM con tu número de pedido o utiliza este enlace para que nuestro equipo pueda revisarlo: https://t.co/xxxx,"@AmazonHelp Eso leí pero fue comprarlo y a los 2 minutos ya ponía que estaba en envió y después lo cancele y ahora no se que hacer, en el link que me habéis puesto no sale nada de que me tarden x días en devolver el dinero si cancelara el pedido después del envió ||| @AmazonHelp Sí. Me ha llamado cuando ya no estaba en el domicilio y se había ido al siguiente reparto. No sé ya para qué. Si hubiese llamado en el momento de estar en mi domicilio, lo hubiese podido entregar seguro ||| @AmazonHelp Uy si, es cierto, gracias. Pues no, no he recibido ningún mensaje de retraso pero ahora me indica en la app que el envío será entre el 24 y el 28, y cuando lo compre eso no me lo ponía, como podéis ver en el mensaje",True,Thread already has 8 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,repeated_complaint
544436,@115821 hate to bitch during 🎄 but super frustrating to get screwed an undelivered 📦 and cust. service not being able to fix in time 😠,"@246494 I hate to hear you've had a frustrating experience with us! We'd like to help! Without account details, could you let us know what's happened? ^TK",delivery_delay,0.85,"User complains about an undelivered package and inability of customer service to resolve it, matching delivery delay issues.",@115821 Sorry to hear about the delay and the trouble with service. Please DM us or share your order details here: https://t.co/YBsdWghAa8 so we can help. ^SH,"@AmazonHelp I have had a talk with your cust service wrt the matter. ||| @AmazonHelp I have had a talk with your cust service wrt the matter. ||| @AmazonHelp Every time we call cust. service to fix it, they tell us it’s fixed and we should be ok to make the purchase after getting an email to reset",True,Strong frustration and potential goodwill compensation require human review,llm_judgment
751715,"@AmazonHelp Yeah, I'm using Amazon from a long time, and I always trust @115850 in terms of customer service. Which I experienced recently 😊",@299664 Wow! Thank you. We're glad to hear this &amp; it's very kind of you to say. ^VN,general_feedback,0.96,The message expresses positive feedback and appreciation for a customer service representative.,"Thank you for sharing your experience! We're thrilled to have earned your trust over the years. If you ever need assistance, just let us know.",I’m sorry @115830 but this isn’t customer service. This is fobbing off a long-time customer. https://t.co/2d2nFBxKKA ||| @AmazonHelp yeah I am ||| @AmazonHelp Yeah,False,Positive feedback with no policy or issue requiring human review,llm_judgment
