tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1000,cust_1000,True,2017-10-01 09:00:00 +0000,The item I received for order #100000 is completely different from what I ordered.,1001,
1001,AmazonHelp,False,2017-10-01 09:03:00 +0000,"That's disappointing, sorry! Please DM order # and a photo so we can send a replacement or refund. -Ravi",,1000
1002,cust_1001,True,2017-10-02 10:07:00 +0000,"I want to return item from order #100001, how do I start that?",1003,
1003,AmazonHelp,False,2017-10-02 10:10:00 +0000,You can start a return anytime from Your Orders > Return or Replace Items for order #100001. -Ravi,,1002
1004,cust_1002,True,2017-10-03 11:14:00 +0000,How do I cancel order #100002? I ordered by mistake.,1005,
1005,AmazonHelp,False,2017-10-03 11:17:00 +0000,"No problem, you can cancel from Your Orders if it hasn't shipped yet for order #100002. If it already shipped, refuse delivery or return it. -Sam",,1004
1006,cust_1003,True,2017-10-04 12:21:00 +0000,"Just wanted to say the replacement for order #100003 arrived super fast, thanks!",1007,
1007,AmazonHelp,False,2017-10-04 12:24:00 +0000,"That's wonderful to hear, thanks for letting us know! -Kai",,1006
1008,cust_1004,True,2017-10-05 13:28:00 +0000,"Order #100004 still hasn't shipped after 6 days, what's going on?",1009,
1009,AmazonHelp,False,2017-10-05 13:31:00 +0000,"Sorry for the delay! I can see order #100004 is preparing for dispatch, it will ship within 24h. -Sam",,1008
1010,cust_1005,True,2017-10-06 14:35:00 +0000,My package for order #100005 says delivered but I never got it.,1011,
1011,AmazonHelp,False,2017-10-06 14:38:00 +0000,That's not good to hear. Please DM us your order # and address so we can investigate a missing delivery. -Kai,,1010
1012,cust_1006,True,2017-10-07 15:42:00 +0000,"This is the third time my delivery for order #100006 is late, I'm considering canceling Prime.",1013,
1013,AmazonHelp,False,2017-10-07 15:45:00 +0000,I completely understand the frustration. Please DM order # so we can escalate this and make it right. -Ravi,,1012
1014,cust_1007,True,2017-10-08 16:49:00 +0000,My package for order #100007 says delivered but I never got it.,1015,
1015,AmazonHelp,False,2017-10-08 16:52:00 +0000,That's not good to hear. Please DM us your order # and address so we can investigate a missing delivery. -Kai,,1014
1016,cust_1008,True,2017-10-09 09:56:00 +0000,The item I received for order #100008 is completely different from what I ordered.,1017,
1017,AmazonHelp,False,2017-10-09 09:59:00 +0000,"That's disappointing, sorry! Please DM order # and a photo so we can send a replacement or refund. -Ravi",,1016
1018,cust_1009,True,2017-10-10 10:03:00 +0000,"Someone used my account to place an order I didn't make, order #100009.",1019,
1019,AmazonHelp,False,2017-10-10 10:06:00 +0000,"This needs immediate attention -- please DM us right away, do not share your password, and we'll lock down the account. -Sam",,1018
1020,cust_1010,True,2017-10-11 11:10:00 +0000,"Order #100010 still hasn't shipped after 6 days, what's going on?",1021,
1021,AmazonHelp,False,2017-10-11 11:13:00 +0000,"Sorry for the delay! I can see order #100010 is preparing for dispatch, it will ship within 24h. -Sam",,1020
1022,cust_1011,True,2017-10-12 12:17:00 +0000,"This is the third time my delivery for order #100011 is late, I'm considering canceling Prime.",1023,
1023,AmazonHelp,False,2017-10-12 12:20:00 +0000,I completely understand the frustration. Please DM order # so we can escalate this and make it right. -Ravi,,1022
1024,cust_1012,True,2017-10-13 13:24:00 +0000,"Charged twice for order #100012, need a refund now.",1025,
1025,AmazonHelp,False,2017-10-13 13:27:00 +0000,Sorry about that! Please DM your order # and we'll verify and refund the duplicate charge within 3-5 business days. -Sam,,1024
1026,cust_1013,True,2017-10-14 14:31:00 +0000,"Order #100013 still hasn't shipped after 6 days, what's going on?",1027,
1027,AmazonHelp,False,2017-10-14 14:34:00 +0000,"Sorry for the delay! I can see order #100013 is preparing for dispatch, it will ship within 24h. -Sam",,1026
1028,cust_1014,True,2017-10-15 15:38:00 +0000,My package for order #100014 says delivered but I never got it.,1029,
1029,AmazonHelp,False,2017-10-15 15:41:00 +0000,That's not good to hear. Please DM us your order # and address so we can investigate a missing delivery. -Kai,,1028
1030,cust_1015,True,2017-10-16 16:45:00 +0000,How do I cancel order #100015? I ordered by mistake.,1031,
1031,AmazonHelp,False,2017-10-16 16:48:00 +0000,"No problem, you can cancel from Your Orders if it hasn't shipped yet for order #100015. If it already shipped, refuse delivery or return it. -Sam",,1030
1032,cust_1016,True,2017-10-17 09:52:00 +0000,How do I cancel order #100016? I ordered by mistake.,1033,
1033,AmazonHelp,False,2017-10-17 09:55:00 +0000,"No problem, you can cancel from Your Orders if it hasn't shipped yet for order #100016. If it already shipped, refuse delivery or return it. -Sam",,1032
1034,cust_1017,True,2017-10-18 10:59:00 +0000,My package for order #100017 says delivered but I never got it.,1035,
1035,AmazonHelp,False,2017-10-18 10:02:00 +0000,That's not good to hear. Please DM us your order # and address so we can investigate a missing delivery. -Kai,,1034
1036,cust_1018,True,2017-10-19 11:06:00 +0000,"Charged twice for order #100018, need a refund now.",1037,
1037,AmazonHelp,False,2017-10-19 11:09:00 +0000,Sorry about that! Please DM your order # and we'll verify and refund the duplicate charge within 3-5 business days. -Sam,,1036
1038,cust_1019,True,2017-10-20 12:13:00 +0000,My package for order #100019 says delivered but I never got it.,1039,
1039,AmazonHelp,False,2017-10-20 12:16:00 +0000,That's not good to hear. Please DM us your order # and address so we can investigate a missing delivery. -Kai,,1038
1040,cust_1020,True,2017-10-21 13:20:00 +0000,"This is the third time my delivery for order #100020 is late, I'm considering canceling Prime.",1041,
1041,AmazonHelp,False,2017-10-21 13:23:00 +0000,I completely understand the frustration. Please DM order # so we can escalate this and make it right. -Ravi,,1040
1042,cust_1021,True,2017-10-22 14:27:00 +0000,How do I cancel order #100021? I ordered by mistake.,1043,
1043,AmazonHelp,False,2017-10-22 14:30:00 +0000,"No problem, you can cancel from Your Orders if it hasn't shipped yet for order #100021. If it already shipped, refuse delivery or return it. -Sam",,1042
1044,cust_1022,True,2017-10-23 15:34:00 +0000,"Order #100022 still hasn't shipped after 6 days, what's going on?",1045,
1045,AmazonHelp,False,2017-10-23 15:37:00 +0000,"Sorry for the delay! I can see order #100022 is preparing for dispatch, it will ship within 24h. -Sam",,1044
1046,cust_1023,True,2017-10-24 16:41:00 +0000,"Someone used my account to place an order I didn't make, order #100023.",1047,
1047,AmazonHelp,False,2017-10-24 16:44:00 +0000,"This needs immediate attention -- please DM us right away, do not share your password, and we'll lock down the account. -Sam",,1046
1048,cust_1024,True,2017-10-25 09:48:00 +0000,My package for order #100024 says delivered but I never got it.,1049,
1049,AmazonHelp,False,2017-10-25 09:51:00 +0000,That's not good to hear. Please DM us your order # and address so we can investigate a missing delivery. -Kai,,1048
1050,cust_1025,True,2017-10-26 10:55:00 +0000,"Charged twice for order #100025, need a refund now.",1051,
1051,AmazonHelp,False,2017-10-26 10:58:00 +0000,Sorry about that! Please DM your order # and we'll verify and refund the duplicate charge within 3-5 business days. -Sam,,1050
1052,cust_1026,True,2017-10-27 11:02:00 +0000,"Just wanted to say the replacement for order #100026 arrived super fast, thanks!",1053,
1053,AmazonHelp,False,2017-10-27 11:05:00 +0000,"That's wonderful to hear, thanks for letting us know! -Kai",,1052
1054,cust_1027,True,2017-10-28 12:09:00 +0000,"Just wanted to say the replacement for order #100027 arrived super fast, thanks!",1055,
1055,AmazonHelp,False,2017-10-28 12:12:00 +0000,"That's wonderful to hear, thanks for letting us know! -Kai",,1054
1056,cust_1028,True,2017-10-01 13:16:00 +0000,"Someone used my account to place an order I didn't make, order #100028.",1057,
1057,AmazonHelp,False,2017-10-01 13:19:00 +0000,"This needs immediate attention -- please DM us right away, do not share your password, and we'll lock down the account. -Sam",,1056
1058,cust_1029,True,2017-10-02 14:23:00 +0000,"Order #100029 still hasn't shipped after 6 days, what's going on?",1059,
1059,AmazonHelp,False,2017-10-02 14:26:00 +0000,"Sorry for the delay! I can see order #100029 is preparing for dispatch, it will ship within 24h. -Sam",,1058
1060,cust_1030,True,2017-10-03 15:30:00 +0000,"Someone used my account to place an order I didn't make, order #100030.",1061,
1061,AmazonHelp,False,2017-10-03 15:33:00 +0000,"This needs immediate attention -- please DM us right away, do not share your password, and we'll lock down the account. -Sam",,1060
1062,cust_1031,True,2017-10-04 16:37:00 +0000,"Someone used my account to place an order I didn't make, order #100031.",1063,
1063,AmazonHelp,False,2017-10-04 16:40:00 +0000,"This needs immediate attention -- please DM us right away, do not share your password, and we'll lock down the account. -Sam",,1062
1064,cust_1032,True,2017-10-05 09:44:00 +0000,How do I cancel order #100032? I ordered by mistake.,1065,
1065,AmazonHelp,False,2017-10-05 09:47:00 +0000,"No problem, you can cancel from Your Orders if it hasn't shipped yet for order #100032. If it already shipped, refuse delivery or return it. -Sam",,1064
1066,cust_1033,True,2017-10-06 10:51:00 +0000,"Order #100033 still hasn't shipped after 6 days, what's going on?",1067,
1067,AmazonHelp,False,2017-10-06 10:54:00 +0000,"Sorry for the delay! I can see order #100033 is preparing for dispatch, it will ship within 24h. -Sam",,1066
1068,cust_1034,True,2017-10-07 11:58:00 +0000,"Charged twice for order #100034, need a refund now.",1069,
1069,AmazonHelp,False,2017-10-07 11:01:00 +0000,Sorry about that! Please DM your order # and we'll verify and refund the duplicate charge within 3-5 business days. -Sam,,1068
1070,cust_1035,True,2017-10-08 12:05:00 +0000,"Order #100035 still hasn't shipped after 6 days, what's going on?",1071,
1071,AmazonHelp,False,2017-10-08 12:08:00 +0000,"Sorry for the delay! I can see order #100035 is preparing for dispatch, it will ship within 24h. -Sam",,1070
1072,cust_1036,True,2017-10-09 13:12:00 +0000,"This is the third time my delivery for order #100036 is late, I'm considering canceling Prime.",1073,
1073,AmazonHelp,False,2017-10-09 13:15:00 +0000,I completely understand the frustration. Please DM order # so we can escalate this and make it right. -Ravi,,1072
1074,cust_1037,True,2017-10-10 14:19:00 +0000,"I want to return item from order #100037, how do I start that?",1075,
1075,AmazonHelp,False,2017-10-10 14:22:00 +0000,You can start a return anytime from Your Orders > Return or Replace Items for order #100037. -Ravi,,1074
1076,cust_1038,True,2017-10-11 15:26:00 +0000,"Can't log into my account, keeps saying wrong password even after reset.",1077,
1077,AmazonHelp,False,2017-10-11 15:29:00 +0000,Let's get this fixed -- please DM us the email on the account (not the password) so we can look into it. -Kai,,1076
1078,cust_1039,True,2017-10-12 16:33:00 +0000,How do I cancel order #100039? I ordered by mistake.,1079,
1079,AmazonHelp,False,2017-10-12 16:36:00 +0000,"No problem, you can cancel from Your Orders if it hasn't shipped yet for order #100039. If it already shipped, refuse delivery or return it. -Sam",,1078
1080,cust_1040,True,2017-10-13 09:40:00 +0000,"I want to return item from order #100040, how do I start that?",1081,
1081,AmazonHelp,False,2017-10-13 09:43:00 +0000,You can start a return anytime from Your Orders > Return or Replace Items for order #100040. -Ravi,,1080
1082,cust_1041,True,2017-10-14 10:47:00 +0000,"This is the third time my delivery for order #100041 is late, I'm considering canceling Prime.",1083,
1083,AmazonHelp,False,2017-10-14 10:50:00 +0000,I completely understand the frustration. Please DM order # so we can escalate this and make it right. -Ravi,,1082
1084,cust_1042,True,2017-10-15 11:54:00 +0000,My package for order #100042 says delivered but I never got it.,1085,
